invoice,description,qty,invoice_date,unit_price,customer_id,country,discount_amount,transaction_type,revenue_amount,customer_status
C536379,Discount,-1,2010-12-01,27.50,14527,United Kingdom,-27.50,Return,-27.50,Registered
C537164,Discount,-1,2010-12-05,29.29,14527,United Kingdom,-29.29,Return,-29.29,Registered
C537597,Discount,-1,2010-12-07,281.00,15498,United Kingdom,-281.00,Return,-281.00,Registered
C537857,Discount,-1,2010-12-08,267.12,17340,United Kingdom,-267.12,Return,-267.12,Registered
C538897,Discount,-1,2010-12-15,5.76,16422,United Kingdom,-5.76,Return,-5.76,Registered
C538897,Discount,-1,2010-12-15,42.50,16422,United Kingdom,-42.50,Return,-42.50,Registered
C539003,Discount,-1,2010-12-15,26.93,14527,United Kingdom,-26.93,Return,-26.93,Registered
C539589,Discount,-1,2010-12-20,13.88,14527,United Kingdom,-13.88,Return,-13.88,Registered
C540171,Discount,-1,2011-01-14,22.97,14527,United Kingdom,-22.97,Return,-22.97,Registered
C543752,Discount,-1,2011-03-18,64.27,14031,United Kingdom,-64.27,Return,-64.27,Registered
C543758,Discount,-1,2011-03-18,65.91,15299,United Kingdom,-65.91,Return,-65.91,Registered
C543789,Discount,-1,2011-03-18,84.80,17450,United Kingdom,-84.80,Return,-84.80,Registered
C543840,Discount,-1,2011-03-20,70.01,14527,United Kingdom,-70.01,Return,-70.01,Registered
C545476,Discount,-1,2011-04-14,30.38,14527,United Kingdom,-30.38,Return,-30.38,Registered
C545478,Discount,-720,2011-04-14,0.01,16422,United Kingdom,-7.20,Return,-7.20,Registered
C546106,Discount,-1,2011-04-19,9.87,14527,United Kingdom,-9.87,Return,-9.87,Registered
C548411,Discount,-1,2011-05-26,162.24,13316,United Kingdom,-162.24,Return,-162.24,Registered
C548462,Discount,-1,2011-05-26,14.52,14527,United Kingdom,-14.52,Return,-14.52,Registered
C549452,Discount,-1,2011-06-17,1867.86,17940,United Kingdom,-1867.86,Return,-1867.86,Registered
C551190,Discount,-1,2011-07-15,120.00,17940,United Kingdom,-120.00,Return,-120.00,Registered
C551265,Discount,-1,2011-07-15,11.76,14527,United Kingdom,-11.76,Return,-11.76,Registered
C552423,Discount,-1,2011-07-24,11.84,14527,United Kingdom,-11.84,Return,-11.84,Registered
C552569,Discount,-240,2011-07-25,0.03,12901,United Kingdom,-7.20,Return,-7.20,Registered
C552650,Discount,-18,2011-07-25,1.45,16672,United Kingdom,-26.10,Return,-26.10,Registered
C553482,Discount,-1,2011-08-17,9.84,14527,United Kingdom,-9.84,Return,-9.84,Registered
C553665,Discount,-1,2011-08-18,15.96,14527,United Kingdom,-15.96,Return,-15.96,Registered
C553841,Discount,-48,2011-08-19,0.20,16029,United Kingdom,-9.60,Return,-9.60,Registered
C554516,Discount,-1,2011-08-25,13.88,14527,United Kingdom,-13.88,Return,-13.88,Registered
C555597,Discount,-1,2011-09-15,42.00,15796,United Kingdom,-42.00,Return,-42.00,Registered
C556037,Discount,-1,2011-09-18,20.92,14527,United Kingdom,-20.92,Return,-20.92,Registered
C556265,Discount,-1,2011-09-20,28.04,16684,United Kingdom,-28.04,Return,-28.04,Registered
C556796,Discount,-96,2011-09-22,0.70,16013,United Kingdom,-67.20,Return,-67.20,Registered
C556877,Discount,-1,2011-09-22,129.90,15498,United Kingdom,-129.90,Return,-129.90,Registered
C556904,Discount,-1,2011-09-22,14.42,14527,United Kingdom,-14.42,Return,-14.42,Registered
C557927,Discount,-1,2011-09-28,10.00,16029,United Kingdom,-10.00,Return,-10.00,Registered
C559992,Discount,-1,2011-10-24,13.99,14527,United Kingdom,-13.99,Return,-13.99,Registered
C560842,Discount,-1,2011-10-28,12.15,14527,United Kingdom,-12.15,Return,-12.15,Registered
C560869,Discount,-1,2011-10-28,66.24,12830,United Kingdom,-66.24,Return,-66.24,Registered
C561225,Discount,-1,2011-10-31,45.60,16029,United Kingdom,-45.60,Return,-45.60,Registered
C561464,Discount,-1,2011-10-31,26.05,14527,United Kingdom,-26.05,Return,-26.05,Registered
C562796,Discount,-1,2011-11-17,64.00,13694,United Kingdom,-64.00,Return,-64.00,Registered
C563225,Discount,-1,2011-11-18,434.51,14911,EIRE,-434.51,Return,-434.51,Registered
C563592,Discount,-1,2011-11-21,9.60,16029,United Kingdom,-9.60,Return,-9.60,Registered
C563593,Discount,-1,2011-11-21,206.40,14646,Netherlands,-206.40,Return,-206.40,Registered
C564487,Discount,-1,2011-11-23,11.52,15838,United Kingdom,-11.52,Return,-11.52,Registered
C564812,Discount,-1,2011-11-24,16.67,14527,United Kingdom,-16.67,Return,-16.67,Registered
C564812,Discount,-1,2011-11-24,15.07,14527,United Kingdom,-15.07,Return,-15.07,Registered
C564812,Discount,-1,2011-11-24,10.06,14527,United Kingdom,-10.06,Return,-10.06,Registered
C564812,Discount,-1,2011-11-24,13.00,14527,United Kingdom,-13.00,Return,-13.00,Registered
C564909,Discount,-1,2011-11-25,66.17,15498,United Kingdom,-66.17,Return,-66.17,Registered
C564909,Discount,-1,2011-11-25,33.75,15498,United Kingdom,-33.75,Return,-33.75,Registered
C565075,Discount,-1,2011-11-25,36.30,13408,United Kingdom,-36.30,Return,-36.30,Registered
C565075,Discount,-1,2011-11-25,38.39,13408,United Kingdom,-38.39,Return,-38.39,Registered
C565078,Discount,-1,2011-11-25,57.60,16422,United Kingdom,-57.60,Return,-57.60,Registered
C565313,Discount,-1,2011-11-27,14.50,14527,United Kingdom,-14.50,Return,-14.50,Registered
C565390,Discount,-1,2011-11-27,110.43,13408,United Kingdom,-110.43,Return,-110.43,Registered
C566078,Discount,-1,2011-11-30,45.33,13137,United Kingdom,-45.33,Return,-45.33,Registered
C566475,Discount,-1,2011-12-09,20.75,14527,United Kingdom,-20.75,Return,-20.75,Registered
C566613,Discount,-1,2011-09-13,15.00,16029,United Kingdom,-15.00,Return,-15.00,Registered
C566614,Discount,-1,2011-09-13,102.24,16029,United Kingdom,-102.24,Return,-102.24,Registered
C567896,Discount,-1,2011-09-22,18.62,14527,United Kingdom,-18.62,Return,-18.62,Registered
C569829,Discount,-1,2011-10-18,16.74,14527,United Kingdom,-16.74,Return,-16.74,Registered
C569829,Discount,-1,2011-10-18,16.07,14527,United Kingdom,-16.07,Return,-16.07,Registered
C573081,Discount,-1,2011-11-17,23.27,14527,United Kingdom,-23.27,Return,-23.27,Registered
C574238,Discount,-1,2011-11-22,11.84,13408,United Kingdom,-11.84,Return,-11.84,Registered
C574238,Discount,-1,2011-11-22,39.70,13408,United Kingdom,-39.70,Return,-39.70,Registered
C574238,Discount,-1,2011-11-22,11.59,13408,United Kingdom,-11.59,Return,-11.59,Registered
C575872,Discount,-1,2011-11-29,97.14,13408,United Kingdom,-97.14,Return,-97.14,Registered
C576218,Discount,-1,2011-11-14,183.00,13694,United Kingdom,-183.00,Return,-183.00,Registered
C576244,Discount,-1,2011-11-14,6.00,18167,United Kingdom,-6.00,Return,-6.00,Registered
C577227,Discount,-1,2011-11-18,27.26,14527,United Kingdom,-27.26,Return,-27.26,Registered
C577227,Discount,-1,2011-11-18,14.88,14527,United Kingdom,-14.88,Return,-14.88,Registered
C577227,Discount,-1,2011-11-18,19.82,14527,United Kingdom,-19.82,Return,-19.82,Registered
C577227,Discount,-1,2011-11-18,16.76,14527,United Kingdom,-16.76,Return,-16.76,Registered
C578239,Discount,-1,2011-11-23,26.33,14912,Italy,-26.33,Return,-26.33,Registered
C579884,Discount,-1,2011-11-30,20.53,14527,United Kingdom,-20.53,Return,-20.53,Registered
C579908,Discount,-1,2011-12-01,28.68,14527,United Kingdom,-28.68,Return,-28.68,Registered
